,Timestep,Neural,Maximum,Greedy,Lazy,e-Neural,greedy
613,614.0,556.3425998,51.41105496,51.10474234,557.0135211,70.05866116,
614,615.0,557.2644159,51.43700251,51.10321638,557.9365972,70.05425757,
615,616.0,558.1862322,51.42616909,51.12188687,558.8596735,70.04033149,
616,617.0,559.1080487,51.40573757,51.11999226,559.78275,70.04585326,
617,618.0,560.0298654,51.44260032,51.11259576,560.7058268,70.03377002,
618,619.0,560.9516823,51.43162364,51.09936118,561.6289037,70.02771684,
619,620.0,561.8734993,51.45499478,51.12078737,562.5519808,70.07592773,
620,621.0,562.7953166,51.43702423,51.11185753,563.4750581,70.0466199,
621,622.0,563.7171341,51.42589246,51.11695651,564.3981356,70.05658906,
622,623.0,564.6389517,51.43080883,51.11497978,565.3212133,70.15379516,
623,624.0,565.5607696,51.43722357,51.10536347,566.2442912,70.14752673,
624,625.0,566.4825876,51.44611092,51.09157971,567.1673693,70.11036808,
625,626.0,567.4044059,51.4354478,51.08586584,568.0904476,70.13692275,
626,627.0,568.3262243,51.41866443,51.10856162,569.013526,70.15658831,
627,628.0,569.2480429,51.42346607,51.10596082,569.9366047,70.19118919,
628,629.0,570.1698617,51.42412294,51.09334358,570.8596835,70.19366201,
629,630.0,571.0916807,51.41724345,51.09939791,571.7827625,70.2023715,
630,631.0,572.0134999,51.42379129,51.09154489,572.7058417,70.28758893,
631,632.0,572.9353193,51.40939332,51.09286204,573.6289211,70.30808976,
632,633.0,573.8571388,51.41374173,51.08820946,574.5520007,70.30477571,
633,634.0,574.7789585,51.41162036,51.11552078,575.4750805,70.63252723,
634,635.0,575.7007785,51.42685728,51.12311478,576.3981604,70.65931713,
635,636.0,576.6225986,51.41537028,51.11144677,577.3212405,70.65858134,
636,637.0,577.5444188,51.43936065,51.11945868,578.2443208,70.67933041,
637,638.0,578.4662393,51.44549959,51.14109797,579.1674013,70.66631131,
638,639.0,579.3880599,51.46015991,51.12970303,580.090482,70.64190214,
639,640.0,580.3098808,51.45737259,51.15108171,581.0135628,70.73038637,
640,641.0,581.2317017,51.44476175,51.1804365,581.9366439,70.72432988,
641,642.0,582.1535229,51.43362225,51.16450751,582.8597251,70.6960206,
642,643.0,583.0753443,51.41799583,51.15611665,583.7828064,70.70137702,
643,644.0,583.9971658,51.42531506,51.14825747,584.705888,70.69259798,
644,645.0,584.9189875,51.42027031,51.14976742,585.6289697,70.6959369,
645,646.0,585.8408094,51.42050742,51.14244124,586.5520516,70.66794391,
646,647.0,586.7626314,51.4013152,51.14271334,587.4751337,70.70172419,
647,648.0,587.6844536,51.38833694,51.14491542,588.3982159,70.67787722,
648,649.0,588.606276,51.37407178,51.15110616,589.3212983,70.66115039,
649,650.0,589.5280986,51.40052308,51.15411971,590.2443809,70.6331228,
650,651.0,590.4499213,51.41282105,51.15602646,591.1674636,70.66595807,
651,652.0,591.3717442,51.4132618,51.14847589,592.0905465,70.63941536,
652,653.0,592.2935672,51.41534992,51.14655596,593.0136296,70.61739692,
653,654.0,593.2153905,51.43250349,51.15166167,593.9367129,70.65655208,
654,655.0,594.1372139,51.42475977,51.1859486,594.8597963,70.77342203,
655,656.0,595.0590374,51.43352301,51.18872039,595.7828799,70.78549331,
